MsgID.GLOBAL_POSITION,0.0000000,-122.3956164,37.7932825,2.9960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,1.2000000,-0.0700000
MsgID.LOCAL_POSITION,23.3640000,0.1136596,12.0411234,-2.9965591
MsgID.LOCAL_VELOCITY,23.3640000,0.0332367,1.2049050,-0.0768692
MsgID.GLOBAL_POSITION,0.0000000,-122.3956159,37.7932837,3.0030000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,-0.1800000,0.0400000
MsgID.LOCAL_POSITION,23.6140000,0.2383985,12.0909290,-3.0030437
MsgID.LOCAL_VELOCITY,23.6140000,-0.0327707,-0.1886018,0.0447202
MsgID.GLOBAL_POSITION,0.0000000,-122.3956163,37.7932839,3.0060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1500000,-1.3600000,0.0800000
MsgID.LOCAL_POSITION,23.8650000,0.2666616,12.0543175,-3.0061924
MsgID.LOCAL_VELOCITY,23.8650000,-0.1504685,-1.3634088,0.0851690
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956225,37.7932819,3.0140000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2900000,-2.4600000,0.1700000
MsgID.LOCAL_POSITION,24.1150000,0.0443538,11.5044136,-3.0149024
MsgID.LOCAL_VELOCITY,24.1150000,-0.2942780,-2.4684656,0.1703042
MsgID.GLOBAL_POSITION,0.0000000,-122.3956294,37.7932807,3.0090000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2200000,-2.6200000,0.2300000
MsgID.LOCAL_POSITION,24.3660000,-0.0878422,10.8908072,-3.0098035
MsgID.LOCAL_VELOCITY,24.3660000,-0.2227128,-2.6231060,0.2315516
MsgID.GLOBAL_POSITION,0.0000000,-122.3956365,37.7932805,3.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-2.0200000,0.2600000
MsgID.LOCAL_POSITION,24.6160000,-0.1074322,10.2576742,-3.0058727
MsgID.LOCAL_VELOCITY,24.6160000,-0.0011376,-2.0282943,0.2615322
MsgID.GLOBAL_POSITION,0.0000000,-122.3956405,37.7932816,2.9950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,-1.0200000,0.1300000
MsgID.LOCAL_POSITION,24.8660000,0.0078123,9.9024782,-2.9958704
MsgID.LOCAL_VELOCITY,24.8660000,0.0342853,-1.0286229,0.1363875
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956426,37.7932824,2.9950000
